# Quranic concepts and their canonical code names.
#
# code            the canonical code name (rules 001, 008)
# display         the name readers see (rule 038)
# origin          quranic: a transliterated Arabic term (rule 002); borrowed: a
#                 compound mixing both (rule 004); standard: a general concept
#                 with an English name (rule 003). In mixed names, spelling
#                 rules apply only to the Arabic components.
# plural          only when it is not code + "s" (rule 049)
# arabic          the vocalised Arabic name (rule 039)
# other_spellings names that no rule predicts, reported as rule 001
# english         English equivalents used in place of the term (rules 001, 003)
# arabic_plurals  Arabic plurals used as collection names (rule 049)
# former_names    deprecated names (rule 046)
#
# Lists are comma-separated. Spellings the rules predict (tajweed, sura,
# al_fatihah, ...) are generated by rules.py and do not belong here.
code	display	origin	plural	arabic	other_spellings	english	arabic_plurals	former_names
makki	Makki	quranic		مَكِّيّ	makkan	meccan		
manzil	Manzil	quranic		المَنْزِل				
mathani	Mathani	quranic		المَثَانِي				
meem_sakinah	Meem Sakinah	quranic		المِيم السَّاكِنَة	mim_sakinah,meem_saakinah	unvowelled_meem		
miun	Miun	quranic		المِئُون		hundred_verse_surahs		
morpheme	Morpheme	borrowed		الوَحْدَة الصَّرْفِيَّة	word_segment			
morphology	Morphology	borrowed		الصَّرْف				
muallim	Muallim	quranic		مُعَلِّم				
mufassal	Mufassal	quranic		المُفَصَّل				
mufassir	Mufassir	quranic		المُفَسِّر		exegete		
mujawwad	Mujawwad	quranic		مُجَوَّد				
muqatta_letter	Muqatta Letter	quranic		الحَرْف المُقَطَّع		disjointed_letters		
muqri	Muqri	quranic		المُقْرِئ				
murattal	Murattal	quranic		مُرَتَّل				
mushaf	Mushaf	quranic		المُصْحَف	moshaf	quran_codex		
mushaf_edition	Mushaf Edition	standard		طَبْعَة المُصْحَف				
mushaf_mark	Mushaf Mark	standard		عَلَامَة المُصْحَف				
mutajanisan	Mutajanisan	quranic		المُتَجَانِسَان	mutajanisain,mutajanisayn,mutajanisan_saghir			
mutamathilan	Mutamathilan	quranic		المُتَمَاثِلَان	mutamathilain,mutamathilayn,mithlayn,mutamathilan_saghir			
mutashabihat	Mutashabihat	quranic		المُتَشَابِهَات	mutashabih,mutashabihat_lafziyyah,similar_ayahs	similar_passages		
noon_sakinah	Noon Sakinah	quranic		النُّون السَّاكِنَة	nun_sakinah,noon_saakinah	unvowelled_noon		
noun	Noun	borrowed		الاِسْم				
omitted_alif	Omitted Alif	quranic		الأَلِف المَحْذُوفَة	alif_mahdhufah,dagger_alif,small_alef,small_alif,superscript_alif			
orthographic_mark	Orthographic Mark	quranic		العَلَامَة الإِمْلَائِيَّة				
page	Page	borrowed		الصَّفْحَة	safhah			
part_of_speech	Part of Speech	borrowed		قِسْم الكَلِمَة	pos			
particle	Particle	borrowed		حَرْف المَعْنَى				
qalqalah	Qalqalah	quranic		القَلْقَلَة	qalqalh	echoing		
qiraah	Qiraah	quranic		القِرَاءَة		reading		
qiraah_mark	Qiraah Mark	quranic		عَلَامَة القِرَاءَة				
quran	Quran	quranic		القُرْآن	koran,quraan			
quran_merits	Quran Merits	borrowed		فَضَائِل القُرْآن	fadail,fadail_al_surah			
rasm	Rasm	quranic		الرَّسْم	rasm_type	orthography		
rasm_imlai	Rasm Imlai	quranic		الرَّسْم الإِمْلَائِيّ	imlaei,imlai,imlaai,simple,text_simple,text_imlaei,rasm_imlaei	modern_orthography,standard_orthography		
rasm_uthmani	Rasm Uthmani	quranic		الرَّسْم العُثْمَانِيّ	uthmani,uthmanic,othmani,rasm_othmani	uthmanic_orthography		
rawi	Rawi	quranic		الرَّاوِي		transmitter		
recitation	Recitation	borrowed		تَسْجِيل التِّلَاوَة				
recitation_pace	Recitation Pace	standard		مَرَاتِب القِرَاءَة				
recitation_style	Recitation Style	standard		نَمَط الأَدَاء				
reciter	Reciter	borrowed		القَارِئ	qari,qaari			
rectangular_zero	Rectangular Zero	quranic		الصِّفْر المُسْتَطِيل	sifr_mustatil			
reflection	Reflection	borrowed		التَّدَبُّر	tadabur,waqfat_tadabburiyyah			
revelation	Revelation	borrowed		النُّزُول				
revelation_classification	Revelation Classification	standard		تَصْنِيف النُّزُول				
revelation_order	Revelation Order	standard		تَرْتِيب النُّزُول				
riwayah	Riwayah	quranic		الرِّوَايَة	rewaya			
root	Root	borrowed		الجَذْر				
rounded_zero	Rounded Zero	quranic		الصِّفْر المُسْتَدِير	sifr_mustadir			
rubu_al_hizb	Rubu al-Hizb	quranic		رُبْع الحِزْب	rub_el_hizb,rub,rubu,rub_hizb,hizb_quarter,quarter_hizb			
ruku	Ruku	quranic		الرُّكُوع				
saba_tiwal	Saba Tiwal	quranic		السَّبْع الطِّوَال		seven_long_surahs		
sajdah	Sajdah	quranic		السَّجْدَة	sajdah_place,mawdi_al_sajdah,sujud_al_tilawah,sajdat_al_tilawah	prostration,prostration_of_recitation		
sajdah_line	Sajdah Line	quranic		خَطّ السَّجْدَة	khatt_mujib_al_sajdah			
sajdah_mark	Sajdah Mark	quranic		عَلَامَة السَّجْدَة	sajda_sign,sajdah_sign			alamat_mawdi_al_sajdah
saktah	Saktah	quranic		السَّكْتَة	sakt			
saktah_mark	Saktah Mark	quranic		عَلَامَة السَّكْتَة	alamat_al_sakt			
seen_al_qiraah	Seen al-Qiraah	quranic		سِين القِرَاءَة	seen_reading,sin_qiraah			
shaddah	Shaddah	quranic		الشَّدَّة	tashdeed,tashdid			
small_meem	Small Meem	quranic		المِيم الصَّغِيرَة	iqlab_meem,meem_iqlab,meem_saghirah,mim_saghirah			
small_noon	Small Noon	quranic		النُّون الصَّغِيرَة	noon_saghirah,nun_saghirah			
small_waw	Small Waw	quranic		الوَاو الصَّغِيرَة	waw_saghirah			
small_yaa	Small Yaa	quranic		اليَاء الصَّغِيرَة	small_ya,ya_saghirah,yaa_saghirah			
spoken_translation	Spoken Translation	standard		التَّرْجَمَة المَنْطُوقَة	audio_translation			
stem	Stem	borrowed		الجِذْع				
sukun	Sukun	quranic		السُّكُون				
surah	Surah	quranic		السُّورَة		chapter	suwar	
surah_group	Surah Group	standard		تَصْنِيف السُّوَر				
surah_name_reason	Surah Name Reason	standard		سَبَب التَّسْمِيَة	sabab_al_tasmiya			
surah_names	Surah Names	quranic		أَسْمَاء السُّورَة	asmaa_al_surah			
surah_objectives	Surah Objectives	borrowed		مَقَاصِد السُّورَة	maqasid			
tadwir	Tadwir	quranic		التَّدْوِير				
tafkhim	Tafkhim	quranic		التَّفْخِيم	tafkhem,tafkhim_rule	heavy_pronunciation,velarisation		
tafsir	Tafsir	quranic		التَّفْسِير		exegesis,commentary		
tafsir_al_ray	Tafsir al-Ray	quranic		تَفْسِير الرَّأْي	tafsir_bil_ray,tafsir_bialray,tafsir_al_raay,tafsir_bir_ray	reasoned_tafsir		
tafsir_mathur	Tafsir Mathur	quranic		التَّفْسِير المَأْثُور	tafsir_bil_mathur,tafsir_bialmathur,mathur	transmitted_tafsir		
tahqiq	Tahqiq	quranic		التَّحْقِيق				
tajwid	Tajweed	quranic		التَّجْوِيد				
tajwid_ruling	Tajwid Ruling	quranic		حُكْم التَّجْوِيد	hukm,hukum,ahkam_al_tajwid,ahkam_al_tajweed,tajwid_rule,tajweed_rule			
tanwin	Tanwin	quranic		التَّنْوِين				
tanwin_al_damm	Tanwin al-Damm	quranic		تَنْوِين الضَّمّ	dammatan,tanween_damm,tanwin_al_rafa			
tanwin_al_fath	Tanwin al-Fath	quranic		تَنْوِين الفَتْح	fathatan,tanween_fath,tanwin_al_nasb			
tanwin_al_kasr	Tanwin al-Kasr	quranic		تَنْوِين الكَسْر	kasratan,tanween_kasr,tanwin_al_jarr,tanwin_al_khafd			
tariq	Tariq	quranic		الطَّرِيق				
tarqiq	Tarqiq	quranic		التَّرْقِيق	tarqiq_rule	light_pronunciation		
tartil	Tartil	quranic		التَّرْتِيل				
tashil	Tashil	quranic		التَّسْهِيل				
tashkil	Tashkil	quranic		التَّشْكِيل		vowel_marks,vocalization,vocalisation		
three_dots	Three Dots	quranic		الثَّلَاث نُقَط	thalath_nuqat			
thumn	Thumn	quranic		الثُّمْن	thumun			
tilawah	Tilawah	quranic		التِّلَاوَة	tilaawah			
token	Token	borrowed						
translation	Translation	borrowed		التَّرْجَمَة				
translator	Translator	borrowed		المُتَرْجِم	mutarjim			
transliteration	Transliteration	borrowed		النَّقْل الحَرْفِيّ				
two_dots	Two Dots	quranic		النُّقْطَتَان	nuqtatan			
verb	Verb	borrowed		الفِعْل				
wajh	Wajh	quranic		الوَجْه	wajh_al_ada,awjuh,wujuh,wajh_qiraah	permitted_variant		
waqf	Waqf	quranic		الوَقْف		stop,pause		
waqf_al_muanaqah	Waqf al-Muanaqah	quranic		وَقْف المُعَانَقَة	muanaqah,muraqabah,taanuq_al_waqf,waqf_al_muraqabah			
waqf_hasan	Waqf Hasan	quranic		الوَقْف الحَسَن				
waqf_jaiz_mustawi_al_tarafayn	Waqf Jaiz Mustawi al-Tarafayn	quranic		الوَقْف الجَائِز مُسْتَوِي الطَّرَفَيْن				waqf_jaiz
waqf_jaiz_waqf_awla	Waqf Jaiz Waqf Awla	quranic		الوَقْف الجَائِز مَعَ كَوْنِ الوَقْف أَوْلَى	waqf_awla			
waqf_jaiz_wasl_awla	Waqf Jaiz Wasl Awla	quranic		الوَقْف الجَائِز مَعَ كَوْنِ الوَصْل أَوْلَى	wasl_awla			
waqf_kafi	Waqf Kafi	quranic		الوَقْف الكَافِي				
waqf_lazim	Waqf Lazim	quranic		الوَقْف اللَّازِم				
waqf_mamnu	Waqf Mamnu	quranic		الوَقْف المَمْنُوع				
waqf_mark	Waqf Mark	quranic		عَلَامَة الوَقْف				
waqf_mark_type	Waqf Mark Type	standard		نَوْع عَلَامَة الوَقْف				
waqf_qabih	Waqf Qabih	quranic		الوَقْف القَبِيح				
waqf_ruling	Waqf Ruling	standard		حُكْم الوَقْف				
waqf_tamm	Waqf Tamm	quranic		الوَقْف التَّامّ				
word	Word	borrowed		الكَلِمَة	kalimah			
word_by_word_translation	Word by Word Translation	standard			wbw,word_by_word,wbw_translation,word_translation,wordbyword			
word_key	Word Key	standard			wid,data_wid,word_ref,word_position_key			
word_meanings	Word Meanings	borrowed		غَرِيب القُرْآن	gharib,word_meaning			
word_timestamp	Word Timestamp	standard			word_alignment,word_segment_timing,timing_segment,audio_segment			word_timing
